what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1649301034728
processors,sysinfo,,,"8",1649301034728
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649301034728
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649301034728
java.specification.name,sysinfo,,,"Java Platform API Specification",1649301034728
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649301034728
java.specification.version,sysinfo,,,"1.6",1649301034728
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649301034728
java.version,sysinfo,,,"1.6.0_23",1649301034728
java.vm.info,sysinfo,,,"mixed mode",1649301034728
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649301034728
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649301034728
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649301034728
java.vm.specification.version,sysinfo,,,"1.0",1649301034728
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649301034728
java.vm.version,sysinfo,,,"19.0-b09",1649301034728
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1649301035150
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1649301035925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649301089826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301091057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301102507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649301102538
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1649301115993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649301116003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301119093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301121513
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1649301123205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301126474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301130154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301130283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301245172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301273637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301291463
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649301293709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649301295667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649301308763
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649301315835
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649301316744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301327190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301386195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301389155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301390743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301393107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301407768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649301407783
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1649301407961
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1649301412371
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1649301412390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301414261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301420519
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649301421369
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1649301421377
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649301424682
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1649301425091
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1649301425121
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1649301425121
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1649301425122
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1649301425139
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649301437583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649301461606
