what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407048340
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649407051201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407053169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407076943
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649407163415
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649407164689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407167580
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649407172421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407172464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407175884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407178943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407180729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407240965
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407242910
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649407245806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407247712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407247777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407248590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407251496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407257973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407261123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407261160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407263644
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649407263654
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407269454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407272252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407424331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407431585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407458584
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649407460081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407462230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407462873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407477135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407481033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407481086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407487312
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649407487325
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649407492175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407505209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407534813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407534833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407573300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407573938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407582349
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1649407592822
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407612101
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407612430
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407615009
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649407615014
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1649407615089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407617730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407619033
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649407619598
